id_unidade_sie,nome_unidade,cod_estruturado,id_centro_sie,id_tipo_unidade,id_situacao_unidade
3543,Núcleo de Cadastro,01.26.01.01.0.0,205,14,1
3546,Núcleo de Concessões,01.26.01.04.0.0,205,14,1
3545,Núcleo de Pensão e Aposentadoria,01.26.01.03.0.0,205,14,1
2687,Núcleo de Pregões,01.18.04.01.0.0,205,14,1
3850,Núcleo de Prevenção de Incêndios,01.11.03.06.0.0,205,14,1
3542,Núcleo de Processos Judiciais,01.26.02.03.0.0,205,14,1
3532,Núcleo de Promoção de Saúde do Trabalho,01.26.05.01.0.0,205,14,1
6621,Núcleo de Propriedade Intelectual,01.28.04.03.0.0,205,14,1
6620,Núcleo de Prospecção e Valoração,01.28.04.02.0.0,205,14,1
6058,Núcleo de Relacionamento Acadêmico,01.08.13.02.0.0,205,14,1
3533,Núcleo de Segurança no Trabalho,01.26.05.02.0.0,205,14,1
1120,Núcleo Tv Universitária,01.75.00.02.0.0,205,14,1
3538,Núcleo de Concursos de Docentes,01.26.03.01.0.0,205,14,1
3539,Núcleo de Concursos de Técnico-Administrativos,01.26.03.02.0.0,205,14,1
6555,Núcleo de Controle Acadêmico da Pós-Graduação,01.09.01.04.0.0,205,14,1
3541,Núcleo de Controle e Manutenção do Sistema de Pagamentos,01.26.02.02.0.0,205,14,1
6556,Núcleo de Criação e Acompanhamento de Cursos de Pós-Graduação,01.09.01.05.0.0,205,14,1
3536,Núcleo de Educação e Desenvolvimento,01.26.04.02.0.0,205,14,1
4492,Núcleo de Fiscalização de Contratos,01.11.01.05.0.0,205,14,1
6568,Núcleo de Gerência de Iniciação Científica,01.09.25.02.0.0,205,14,1
6616,Núcleo de Gestão de Incubadoras Tecnológicas,01.28.03.04.0.0,205,14,1
6615,Núcleo de Gestão de Infraestrutura e Patrimônio,01.28.03.03.0.0,205,14,1
6571,Núcleo de Gestão de Programas Estratégicos,01.09.26.01.0.0,205,14,1
6057,Núcleo de Oferta de Disciplinas,01.08.13.01.0.0,205,14,1
5962,Observatório de Direitos Humanos,01.07.08.03.0.0,205,14,1
5969,Orquestra,01.07.06.03.0.0,205,14,1
2657,Ouvidoria,01.01.15.00.0.0,205,14,1
3523,Secretaria Administrativa - PROGEP,01.26.00.02.0.0,205,14,1
1174,Secretaria Apoio Administrativo - PROPLAN,01.10.00.02.0.0,205,14,1
210,Secretaria dos Conselhos,01.40.00.00.0.0,205,14,1
2554,Secretaria Geral - PROINFRA,01.11.00.02.0.0,205,14,1
4301,Secretaria Técnica de Pessoal Docente,01.26.00.06.0.0,205,14,1
295,"Seção Administrativa, Processamento e Arquivo-DEMAPA",01.18.03.01.0.0,205,14,1
296,"Seção Controle Estoque, Recepção e Expedição-DEMAPA",01.18.03.02.0.0,205,14,1
354,Seção de Análise,01.31.02.01.0.0,205,14,1
2703,Seção de Análise e Execução Orçamentária,01.12.01.02.1.0,205,14,1
265,Seção de Bolsas,01.06.00.03.0.0,205,14,1
2905,Seção de Contabilidade - RU,01.35.04.00.0.0,205,14,1
2705,Seção de Convênios,01.12.01.02.3.0,205,14,1
2230,Seção de Movimentação,01.84.01.02.0.0,205,14,1
2231,Seção de Processamento Técnico e Pesquisas,01.84.03.01.0.0,205,14,1
355,Seção de Programação,01.31.02.02.0.0,205,14,1
2707,Seção de Recebimentos e Pagamentos,01.12.01.01.3.0,205,14,1
353,Seção de Rede,01.31.01.01.0.0,205,14,1
2229,Seção de Registro e Controle,01.84.01.01.0.0,205,14,1
293,"Seção de Registro, Tombamento e Baixa",01.18.02.01.0.0,205,14,1
6593,Secretaria Integrada de Cursos de Pós-Graduação/FW,33.06.02.00.0.0,4634,14,1
6591,Secretaria Unificada de Departamentos/FW,33.05.05.00.0.0,4634,14,1
6581,Setor de Tecnologia da Informação/FW,33.05.03.00.0.0,4634,14,1
291,Seção Elaboração Atos Convocatórios e Contratos-DEMAPA,01.18.01.01.0.0,205,14,1
2708,Seção Financeira,01.12.01.01.2.0,205,14,1
2558,Setor Administrativo - COPA,01.11.03.01.0.0,205,14,1
3324,Setor de Apoio Administrativo - PROPLAN,01.10.00.04.0.0,205,14,1
2569,Setor de Hidráulica e Saneamento,01.11.02.03.0.0,205,14,1
2685,Setor de Importações,01.18.00.04.0.0,205,14,1
2577,Setor de Planejamento Urbano,01.11.03.05.0.0,205,14,1
6062,"Subdivisão de Ações Afirmativas, Sociais, Étnico-Raciais e Indígenas",01.08.14.03.0.0,205,14,1
6061,Subdivisão de Apoio à Aprendizagem,01.08.14.02.0.0,205,14,1
5959,Subdivisão de Geoparque,01.07.07.01.0.0,205,14,1
6696,Subdivisão de Perícia Oficial em Saúde,01.26.05.03.0.0,205,14,1
4640,Departamento de Administração - UEIIA,29.03.00.00.0.0,3202,14,1
6583,Coordenadoria Acadêmica/FW,33.06.00.00.0.0,4634,14,1
6578,Coordenadoria Administrativa/FW,33.05.00.00.0.0,4634,14,1
6587,Divisão de Divulgação Institucional/FW,33.34.00.00.0.0,4634,14,1
6588,Divisão de Projetos/FW,33.35.00.00.0.0,4634,14,1
6579,Núcleo de Gestão Orçamentária/FW,33.05.01.00.0.0,4634,14,1
6580,Núcleo de Infraestrutura e Patrimônio/FW,33.05.02.00.0.0,4634,14,1
6594,Secretaria Administrativa/FW,33.37.00.00.0.0,4634,14,1
6582,Subdivisão de Assistência à Saúde/FW,33.05.04.00.0.0,4634,14,1
4564,Campus da Universidade Federal de Santa Maria em Palmeira das Missões,32.00.00.00.0.0,4564,26,1
143,Departamento de Enfermagem,04.33.00.00.0.0,88,4,1
215,Departamento de Estomatologia,04.34.00.00.0.0,88,4,1
1320,Secretaria Depto Clínica Médica,04.32.00.01.0.0,88,13,99
1315,Secretaria Depto Ginecologia e Obstetrícia,04.38.00.01.0.0,88,13,99
5874,Secretaria dos Cursos de Graduação - PM,32.22.00.00.0.0,4564,13,99
3830,Secretaria Esp. Grad.Formação Profes. Educ. Profissional,05.10.13.00.1.0,94,13,1
5273,Setor de Transporte,26.03.09.00.0.0,2712,14,99
2748,Secretaria do Depto de Relações Empresariais,25.06.00.01.0.0,2732,14,99
5869,Núcleo de Tecnologia de Informação - PM,32.05.00.00.0.0,4564,14,99
6782,Secretaria Integrada de Cursos de Pós-Graduação do CAL,08.06.03.00.0.0,78,14,1
6791,Subdivisão de Apoio As Atividades Acadêmico-Científicas do CAL,08.17.00.00.0.0,78,14,1
6284,Setor de Apoio Pedagógico do CCNE,02.11.00.00.0.0,82,14,1
6536,Secretaria Integrada dos Cursos de Graduação Sig-Afa/CCR,03.05.02.00.0.0,85,14,1
6538,Secretaria Integrada dos Departamentos do CCR,03.05.04.00.0.0,85,14,1
6544,Setor de Apoio Pedagógico do CCR,03.08.00.00.0.0,85,14,1
6539,Subdivisão de Comunicação do CCR,03.05.05.00.0.0,85,14,1
6261,Subdivisão de Projetos do CEFD,09.24.00.00.0.0,97,14,1
6256,Subdivisão de Tecnologia da Informação do CEFD,09.07.02.00.0.0,97,14,1
6320,Laboratório de Engenharia e Processos Químicos,07.81.00.00.0.0,117,14,1
1167,Coordenadoria de Apoio Organizações Comunitárias,01.06.01.00.0.0,205,14,1
3527,Coordenadoria de Concessões e Registros,01.26.01.00.0.0,205,14,1
2226,Divisão de Apoio Técnico Aos Arquivos Setoriais,01.84.02.00.0.0,205,14,1
5965,Divisão de Museus,01.07.06.02.0.0,205,14,1
6054,Núcleo de Matrículas e Fiscalização de Documentos,01.08.12.01.0.0,205,14,1
1123,Núcleo Rádio Universidade,01.75.00.03.0.0,205,14,1
